,DATE,Year,Month,Day,MonetaryBase
522,1961-01-02,1961,1,2,49103.0
523,1961-01-03,1961,1,3,49072.90909090909
524,1961-01-04,1961,1,4,49042.818181818184
525,1961-01-05,1961,1,5,49012.72727272727
526,1961-01-06,1961,1,6,48982.63636363636
527,1961-01-09,1961,1,9,48952.545454545456
528,1961-01-10,1961,1,10,48922.454545454544
529,1961-01-11,1961,1,11,48892.36363636364
530,1961-01-12,1961,1,12,48862.27272727273
531,1961-01-13,1961,1,13,48832.181818181816
532,1961-01-16,1961,1,16,48802.09090909091
533,1961-01-17,1961,1,17,48772.0
534,1961-01-18,1961,1,18,48741.90909090909
535,1961-01-19,1961,1,19,48711.818181818184
536,1961-01-20,1961,1,20,48681.72727272727
537,1961-01-23,1961,1,23,48651.63636363636
538,1961-01-24,1961,1,24,48621.545454545456
539,1961-01-25,1961,1,25,48591.454545454544
540,1961-01-26,1961,1,26,48561.36363636364
541,1961-01-27,1961,1,27,48531.27272727273
542,1961-01-30,1961,1,30,48501.181818181816
543,1961-01-31,1961,1,31,48471.09090909091
544,1961-02-01,1961,2,1,48441.0
545,1961-02-02,1961,2,2,48437.05
546,1961-02-03,1961,2,3,48433.1
547,1961-02-06,1961,2,6,48429.15
548,1961-02-07,1961,2,7,48425.2
549,1961-02-08,1961,2,8,48421.25
550,1961-02-09,1961,2,9,48417.3
551,1961-02-10,1961,2,10,48413.35
552,1961-02-13,1961,2,13,48409.4
553,1961-02-14,1961,2,14,48405.45
554,1961-02-15,1961,2,15,48401.5
555,1961-02-16,1961,2,16,48397.55
556,1961-02-17,1961,2,17,48393.6
557,1961-02-20,1961,2,20,48389.65
558,1961-02-21,1961,2,21,48385.7
559,1961-02-22,1961,2,22,48381.75
560,1961-02-23,1961,2,23,48377.8
561,1961-02-24,1961,2,24,48373.85
562,1961-02-27,1961,2,27,48369.9
563,1961-02-28,1961,2,28,48365.95
564,1961-03-01,1961,3,1,48362.0
565,1961-03-02,1961,3,2,48366.04347826087
566,1961-03-03,1961,3,3,48370.086956521736
567,1961-03-06,1961,3,6,48374.13043478261
568,1961-03-07,1961,3,7,48378.17391304348
569,1961-03-08,1961,3,8,48382.217391304344
570,1961-03-09,1961,3,9,48386.260869565216
571,1961-03-10,1961,3,10,48390.30434782609
572,1961-03-13,1961,3,13,48394.34782608696
573,1961-03-14,1961,3,14,48398.391304347824
574,1961-03-15,1961,3,15,48402.434782608696
575,1961-03-16,1961,3,16,48406.47826086957
576,1961-03-17,1961,3,17,48410.52173913043
577,1961-03-20,1961,3,20,48414.565217391304
578,1961-03-21,1961,3,21,48418.608695652176
579,1961-03-22,1961,3,22,48422.65217391304
580,1961-03-23,1961,3,23,48426.69565217391
581,1961-03-24,1961,3,24,48430.739130434784
582,1961-03-27,1961,3,27,48434.782608695656
583,1961-03-28,1961,3,28,48438.82608695652
584,1961-03-29,1961,3,29,48442.86956521739
585,1961-03-30,1961,3,30,48446.913043478264
586,1961-03-31,1961,3,31,48450.95652173913
587,1961-04-03,1961,4,3,48455.0
588,1961-04-04,1961,4,4,48456.95
589,1961-04-05,1961,4,5,48458.9
590,1961-04-06,1961,4,6,48460.85
591,1961-04-07,1961,4,7,48462.8
592,1961-04-10,1961,4,10,48464.75
593,1961-04-11,1961,4,11,48466.7
594,1961-04-12,1961,4,12,48468.65
595,1961-04-13,1961,4,13,48470.6
