,DATE,Year,Month,Day,Income
424,1960-08-17,1960,8,17,425.0695652173913
425,1960-08-18,1960,8,18,425.10869565217394
426,1960-08-19,1960,8,19,425.1478260869565
427,1960-08-22,1960,8,22,425.18695652173915
428,1960-08-23,1960,8,23,425.2260869565217
429,1960-08-24,1960,8,24,425.26521739130436
430,1960-08-25,1960,8,25,425.30434782608694
431,1960-08-26,1960,8,26,425.3434782608696
432,1960-08-29,1960,8,29,425.38260869565215
433,1960-08-30,1960,8,30,425.4217391304348
434,1960-08-31,1960,8,31,425.46086956521737
435,1960-09-01,1960,9,1,425.5
436,1960-09-02,1960,9,2,425.5772727272727
437,1960-09-05,1960,9,5,425.6545454545454
438,1960-09-06,1960,9,6,425.7318181818182
439,1960-09-07,1960,9,7,425.8090909090909
440,1960-09-08,1960,9,8,425.8863636363636
441,1960-09-09,1960,9,9,425.96363636363634
442,1960-09-12,1960,9,12,426.0409090909091
443,1960-09-13,1960,9,13,426.1181818181818
444,1960-09-14,1960,9,14,426.19545454545454
445,1960-09-15,1960,9,15,426.27272727272725
446,1960-09-16,1960,9,16,426.35
447,1960-09-19,1960,9,19,426.42727272727274
448,1960-09-20,1960,9,20,426.50454545454545
449,1960-09-21,1960,9,21,426.58181818181816
450,1960-09-22,1960,9,22,426.6590909090909
451,1960-09-23,1960,9,23,426.73636363636365
452,1960-09-26,1960,9,26,426.81363636363636
453,1960-09-27,1960,9,27,426.8909090909091
454,1960-09-28,1960,9,28,426.9681818181818
455,1960-09-29,1960,9,29,427.04545454545456
456,1960-09-30,1960,9,30,427.1227272727273
457,1960-10-03,1960,10,3,427.2
458,1960-10-04,1960,10,4,427.17619047619047
459,1960-10-05,1960,10,5,427.15238095238095
460,1960-10-06,1960,10,6,427.12857142857143
461,1960-10-07,1960,10,7,427.1047619047619
462,1960-10-10,1960,10,10,427.0809523809524
463,1960-10-11,1960,10,11,427.0571428571428
464,1960-10-12,1960,10,12,427.0333333333333
465,1960-10-13,1960,10,13,427.0095238095238
