Reporter_code,Reporter_description,Partner_code,Partner_description,Indicator_code,Indicator_description,Flow_Code,Flow_Description,Year,Unit,Value,Flag,Source_Description,Note
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1997,Unit value index - Prev. year = 100,98.5,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1997,Volume index - Previous year = 100,112.171,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1997,Volume index - Previous year = 100,111.935,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1997,Value index - Previous year = 100,109.367,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1997,Value index - Previous year = 100,110.256,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1998,Value index - Previous year = 100,98.978,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1998,Value index - Previous year = 100,105.042,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1998,Volume index - Previous year = 100,102.144,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1998,Volume index - Previous year = 100,111.747,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1998,Unit value index - Prev. year = 100,96.9,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1998,Unit value index - Prev. year = 100,94,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1999,Unit value index - Prev. year = 100,100.8,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1999,Unit value index - Prev. year = 100,97.4,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1999,Volume index - Previous year = 100,111.297,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1999,Volume index - Previous year = 100,104.725,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1999,Value index - Previous year = 100,112.187,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1999,Value index - Previous year = 100,102.002,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2000,Value index - Previous year = 100,112.377,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2000,Value index - Previous year = 100,118.865,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2000,Volume index - Previous year = 100,109.104,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2000,Volume index - Previous year = 100,111.61,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2000,Unit value index - Prev. year = 100,103,   ,WTO, 
